@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
470,'2020/01/13 08:25:21:490',19,215.332031,0.3912,5.229953,1
471,'2020/01/13 08:25:22:239',19,215.332031,0.739844,5.113667,1
472,'2020/01/13 08:25:22:873',19,172.265625,0.534612,5.457574,1
473,'2020/01/13 08:25:23:807',19,258.398438,0.511456,5.786207,1
474,'2020/01/13 08:27:10:322',21,1248.925781,1.130083,9.999279,4
475,'2020/01/13 08:27:11:024',21,1205.859375,0.721037,6.179226,4
476,'2020/01/13 08:27:11:723',21,1162.792969,0.819737,5.869976,4
477,'2020/01/13 08:27:12:423',21,1205.859375,0.6565,6.143837,4
478,'2020/01/13 08:27:13:089',21,1205.859375,0.871208,7.236403,4
479,'2020/01/13 08:27:13:689',21,990.527344,0.598234,5.733368,4
480,'2020/01/13 08:27:13:772',21,1205.859375,1.252423,8.377139,4
481,'2020/01/13 08:27:14:422',21,1162.792969,1.133535,8.673859,4
482,'2020/01/13 08:27:15:605',21,1291.992188,0.806692,6.808664,4
483,'2020/01/13 08:27:16:255',21,1248.925781,1.051112,8.669369,4
484,'2020/01/13 08:27:17:673',21,1205.859375,0.780824,6.639353,4
485,'2020/01/13 08:27:17:706',21,1205.859375,0.801445,7.019159,4
486,'2020/01/13 08:27:17:756',21,1291.992188,1.259148,10.701331,4
487,'2020/01/13 08:27:18:639',21,1119.726563,0.605806,5.357198,4
488,'2020/01/13 08:27:19:356',21,1248.925781,0.639581,5.10345,4
489,'2020/01/13 08:27:20:139',21,1248.925781,0.653141,5.604508,4
490,'2020/01/13 08:27:20:789',21,1119.726563,0.614556,5.59481,4
491,'2020/01/13 08:27:20:839',21,1248.925781,1.147943,7.474026,4
492,'2020/01/13 08:27:22:039',21,1291.992188,1.07209,8.448438,4
493,'2020/01/13 08:27:22:106',21,1464.257813,1.007832,7.008704,4
494,'2020/01/13 08:27:23:622',21,1335.058594,0.721772,7.349072,4
495,'2020/01/13 08:27:25:772',21,1205.859375,0.72275,6.241327,4
496,'2020/01/13 08:27:26:673',21,1248.925781,0.672767,5.685265,4
497,'2020/01/13 08:27:27:423',21,1076.660156,0.64824,5.806448,4
498,'2020/01/13 08:27:27:456',21,1119.726563,0.716981,6.343489,4
499,'2020/01/13 08:27:27:523',21,1119.726563,0.707241,5.824119,4
500,'2020/01/13 08:27:27:556',21,1162.792969,0.668944,5.585596,4
501,'2020/01/13 08:27:28:672',21,1248.925781,0.567222,5.061615,4
502,'2020/01/13 08:27:28:755',21,1291.992188,0.657457,5.830563,4
503,'2020/01/13 08:27:28:823',21,1507.324219,0.628537,5.602999,4
504,'2020/01/13 08:27:29:639',21,1162.792969,0.582494,5.111004,4
505,'2020/01/13 08:27:29:706',21,1248.925781,0.840232,6.77933,4
506,'2020/01/13 08:27:29:757',21,1464.257813,0.821598,5.589663,4
507,'2020/01/13 08:27:30:389',21,1119.726563,0.681397,6.355879,4
508,'2020/01/13 08:27:30:489',21,1205.859375,0.672133,5.829995,4
509,'2020/01/13 08:27:30:573',21,1378.125,0.565058,5.125589,4
510,'2020/01/13 08:27:31:839',21,1205.859375,0.58052,5.040514,4
